name,url,sector,status,http_code,total_entries,newest_article_date,days_since_last,note
404 Media,https://www.404media.co/rss,ai-updates,ACTIVE,200,15,2026-03-21,0,
Ahead of AI,https://magazine.sebastianraschka.com/feed,ai-updates,ACTIVE,200,20,2026-02-25,24,
AI 2 People,https://ai2people.com/feed/,ai-updates,ACTIVE,200,10,2026-03-19,1,
AI Accelerator Institute,https://aiacceleratorinstitute.com/rss/,ai-updates,ACTIVE,200,15,2026-03-19,2,
AI for Good Blog,https://aiforgood.itu.int/feed/,ai-updates,ACTIVE,200,500,2026-03-09,12,
AI Insider,https://theaiinsider.tech/feed/,ai-updates,ACTIVE,200,9,2026-03-21,0,
AI News,https://www.artificialintelligence-news.com/feed/,ai-updates,ACTIVE,200,12,2026-03-19,2,
AI Snake Oil,https://aisnakeoil.substack.com/feed,ai-updates,ACTIVE,200,20,2026-02-24,25,
AI Time Journal,https://www.aitimejournal.com/feed/,ai-updates,ACTIVE,200,10,2026-03-19,2,
AI Weekly,https://aiweekly.co/issues.rss,ai-updates,ACTIVE,200,10,2026-03-19,1,
AI – SiliconANGLE,https://siliconangle.com/category/ai/feed,ai-updates,ACTIVE,200,30,2026-03-15,6,
AIhub,https://aihub.org/feed/?cat=-473,ai-updates,ACTIVE,200,30,2026-03-20,1,
AIhub,https://aihub.org/feed?cat=-473,ai-updates,ACTIVE,200,30,2026-03-20,1,
AIModels.fyi,https://aimodels.substack.com/feed,ai-updates,ACTIVE,200,20,2026-03-21,0,
Apple ML,https://machinelearning.apple.com/rss.xml,ai-updates,ACTIVE,200,10,2026-03-18,3,
Ars Technica,https://feeds.arstechnica.com/arstechnica/index,ai-updates,ACTIVE,200,20,2026-03-21,0,
Ars Technica - AI,https://arstechnica.com/ai/feed/,ai-updates,ACTIVE,200,20,2026-03-20,0,
Artificial Intelligence – Futurism,https://futurism.com/categories/ai-artificial-intelligence/feed,ai-updates,ACTIVE,200,50,2026-03-21,0,
Artificial Intelligence – TechRepublic,https://www.techrepublic.com/rssfeeds/topic/artificial-intelligence/,ai-updates,ACTIVE,200,20,2026-03-20,0,
Artificial intelligence – The Conversation (EU),https://theconversation.com/europe/topics/artificial-intelligence-ai-90/articles.atom,ai-updates,ACTIVE,200,25,2026-03-20,1,
AWS News Blog - AI,https://aws.amazon.com/blogs/aws/category/artificial-intelligence/feed/,ai-updates,ACTIVE,200,20,2026-03-16,5,
Berkeley AI (BAIR),https://bair.berkeley.edu/blog/feed.xml,ai-updates,ACTIVE,200,10,2026-03-13,8,
Big Data – SiliconANGLE,https://siliconangle.com/category/big-data/feed,ai-updates,ACTIVE,200,30,2026-03-11,10,
Chain of Thought (every.to),https://every.to/chain-of-thought/feed.xml,ai-updates,ACTIVE,200,24,2026-03-20,1,
Cisco Blogs - AI,https://blogs.cisco.com/ai/feed,ai-updates,ACTIVE,200,9,2026-03-18,2,
Clarifai Blog,https://www.clarifai.com/blog/rss.xml,ai-updates,ACTIVE,200,10,2026-03-18,3,
CMU ML Blog,https://blog.ml.cmu.edu/feed,ai-updates,ACTIVE,200,1,2026-03-17,3,
Cogito Tech Blog,https://www.cogitotech.com/feed/,ai-updates,ACTIVE,200,10,2026-03-20,1,
Computational Intelligence (Blogspot),http://computational-intelligence.blogspot.com/feeds/posts/default,ai-updates,ACTIVE,200,25,2026-03-20,1,
Copyleaks Blog,https://copyleaks.com/blog/feed,ai-updates,ACTIVE,200,10,2026-03-19,2,
DataRobot Blog,https://www.datarobot.com/blog/feed/,ai-updates,ACTIVE,200,10,2026-03-18,2,
DeepMind Blog,https://deepmind.com/blog/feed/basic/,ai-updates,ACTIVE,200,100,2026-03-17,4,
Department of Product,https://departmentofproduct.substack.com/feed,ai-updates,ACTIVE,200,20,2026-03-20,1,
Digital Thought Disruption,https://digitalthoughtdisruption.com/feed/,ai-updates,ACTIVE,200,10,2026-02-21,28,
Dxcover Blog,https://www.dxcover.com/feed/,ai-updates,ACTIVE,200,10,2026-03-03,18,
EE Times,https://www.eetimes.com/feed,ai-updates,ACTIVE,200,10,2026-03-20,0,
Engadget,https://www.engadget.com/rss.xml,ai-updates,ACTIVE,200,50,2026-03-21,0,
Fusemachines Insights,https://insights.fusemachines.com/feed/,ai-updates,ACTIVE,200,16,2026-03-13,8,
gHacks Technology News,https://www.ghacks.net/feed/,ai-updates,ACTIVE,200,40,2026-03-21,0,
Gizmodo,https://gizmodo.com/rss,ai-updates,ACTIVE,200,20,2026-03-21,0,
Google Blog AI,https://blog.google/technology/ai/rss/,ai-updates,ACTIVE,200,20,2026-03-17,4,
Google DeepMind,https://deepmind.google/blog/rss.xml,ai-updates,ACTIVE,200,100,2026-03-17,4,
Google Research,https://research.google/blog/rss/,ai-updates,ACTIVE,200,100,2026-03-17,3,
GPTZero Blog,https://gptzero.me/news/rss/,ai-updates,ACTIVE,200,15,2026-03-16,5,
HealthTech Magazine,https://feeds.feedburner.com/HealthTechMagazine,ai-updates,ACTIVE,200,10,2026-03-20,0,
Import AI (Beehiiv),https://rss.beehiiv.com/feeds/2R3C6Bt5wj.xml,ai-updates,ACTIVE,200,20,2026-03-20,1,
Import AI (Jack Clark),https://importai.substack.com/feed,ai-updates,ACTIVE,200,20,2026-03-16,5,
Isentia,https://www.isentia.com/feed/,ai-updates,ACTIVE,200,10,2026-02-25,24,
Just AI News,https://justainews.com/feed/,ai-updates,ACTIVE,200,10,2026-03-21,0,
Last Week in AI,https://lastweekin.ai/feed,ai-updates,ACTIVE,200,20,2026-03-16,5,
Live Science - AI,https://www.livescience.com/feeds/tag/artificial-intelligence,ai-updates,ACTIVE,200,50,2026-03-19,2,
Machine learning – Nature,https://www.nature.com/subjects/machine-learning.rss,ai-updates,ACTIVE,200,30,2026-03-21,0,
Marek Rosa / GoodAI Blog,https://blog.marekrosa.org/feed/,ai-updates,ACTIVE,200,10,2026-03-19,2,
MarkTechPost,https://www.marktechpost.com/feed/,ai-updates,ACTIVE,200,10,2026-03-20,0,
MIRI Blog,https://intelligence.org/feed/,ai-updates,ACTIVE,200,6,2026-03-20,1,
MIT AI News,https://news.mit.edu/rss/topic/artificial-intelligence2,ai-updates,ACTIVE,200,50,2026-03-20,1,
MIT News – Machine Learning,https://news.mit.edu/topic/mitmachine-learning-rss.xml,ai-updates,ACTIVE,200,50,2026-03-19,2,
MIT Tech Review,https://www.technologyreview.com/feed/,ai-updates,ACTIVE,200,10,2026-03-20,1,
MIT Tech Review AI,https://www.technologyreview.com/topic/artificial-intelligence/feed/,ai-updates,ACTIVE,200,10,2026-03-20,1,
Netflix Technology Blog – Medium,https://medium.com/feed/@netflixtechblog,ai-updates,ACTIVE,200,10,2026-03-06,15,
New Scientist – Technology,https://www.newscientist.com/subject/technology/feed/,ai-updates,ACTIVE,200,100,2026-03-21,0,
News on AI/ML – TechXplore,https://techxplore.com/rss-feed/machine-learning-ai-news/,ai-updates,ACTIVE,200,30,2026-03-21,0,
News on AI/ML – TechXplore (phys.org),https://phys.org/rss-feed/technology-news/machine-learning-ai/,ai-updates,ACTIVE,200,30,2026-03-21,0,
NVIDIA Blog,https://feeds.feedburner.com/nvidiablog,ai-updates,ACTIVE,200,18,2026-03-20,1,
O'Reilly Media - AI & ML,https://www.oreilly.com/radar/topics/ai-ml/feed/index.xml,ai-updates,ACTIVE,200,15,2026-03-20,1,
ODSC – Medium,https://medium.com/feed/@odsc,ai-updates,ACTIVE,200,10,2026-03-19,2,
One Useful Thing,https://www.oneusefulthing.org/feed,ai-updates,ACTIVE,200,20,2026-03-12,9,
