name,url,sector,category,source_list,valid,http_status,notes
OpenAI Blog,https://openai.com/news/rss.xml,ai-updates,news,feeds.py,,,
Google DeepMind,https://deepmind.google/blog/rss.xml,ai-updates,news,feeds.py,,,
Google Blog AI,https://blog.google/technology/ai/rss/,ai-updates,news,feeds.py,,,
Google Research,https://research.google/blog/rss/,ai-updates,news,feeds.py,,,
Microsoft AI,https://blogs.microsoft.com/ai/feed,ai-updates,news,feeds.py,,,
Apple ML,https://machinelearning.apple.com/rss.xml,ai-updates,news,feeds.py,,,
NVIDIA Blog,https://feeds.feedburner.com/nvidiablog,ai-updates,news,feeds.py,,,
MIT AI News,https://news.mit.edu/rss/topic/artificial-intelligence2,ai-updates,news,feeds.py,,,
Berkeley AI (BAIR),https://bair.berkeley.edu/blog/feed.xml,ai-updates,news,feeds.py,,,
CMU ML Blog,https://blog.ml.cmu.edu/feed,ai-updates,news,feeds.py,,,
AI News,https://www.artificialintelligence-news.com/feed/,ai-updates,news,feeds.py,,,
The Verge AI,https://www.theverge.com/rss/ai-artificial-intelligence/index.xml,ai-updates,news,feeds.py,,,
The Verge Tech,https://www.theverge.com/rss/tech/index.xml,ai-updates,news,feeds.py,,,
Ars Technica,https://feeds.arstechnica.com/arstechnica/index,ai-updates,news,feeds.py,,,
MIT Tech Review AI,https://www.technologyreview.com/topic/artificial-intelligence/feed/,ai-updates,news,feeds.py,,,
MIT Tech Review,https://www.technologyreview.com/feed/,ai-updates,news,feeds.py,,,
MarkTechPost,https://www.marktechpost.com/feed/,ai-updates,news,feeds.py,,,
Import AI (Jack Clark),https://importai.substack.com/feed,ai-updates,news,feeds.py,,,
Import AI (Beehiiv),https://rss.beehiiv.com/feeds/2R3C6Bt5wj.xml,ai-updates,news,feeds.py,,,
arXiv cs.AI,https://rss.arxiv.org/rss/cs.AI,ai-updates,news,feeds.py,,,
arXiv cs.CL (NLP),https://arxiv.org/rss/cs.CL,ai-updates,news,feeds.py,,,
TechCrunch AI,https://techcrunch.com/category/artificial-intelligence/feed/,ai-business,news,feeds.py,,,
TechCrunch (main),https://techcrunch.com/feed/,ai-business,news,feeds.py,,,
VentureBeat,https://venturebeat.com/category/ai/feed/,ai-business,news,feeds.py,,,
Reuters via Google News,https://news.google.com/rss/search?q=site%3Areuters.com+technology&hl=en-US&gl=US&ceid=US%3Aen,ai-business,news,feeds.py,,,
NYT Technology,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,ai-business,news,feeds.py,,,
CNBC Tech,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=19854910,ai-business,news,feeds.py,,,
WSJ Tech,https://feeds.content.dowjones.io/public/rss/RSSWSJD,ai-business,news,feeds.py,,,
Meta News,https://about.fb.com/feed,ai-business,news,feeds.py,,,
Databricks Blog,https://www.databricks.com/feed,ai-business,news,feeds.py,,,
Hugging Face Blog,https://huggingface.co/blog/feed.xml,ai-dev,news,feeds.py,,,
Towards Data Science,https://towardsdatascience.com/feed,ai-dev,news,feeds.py,,,
NVIDIA Developer,https://developer.nvidia.com/blog/feed,ai-dev,news,feeds.py,,,
